#x,T,xh2o,S,qx,X_SLW1,Ss_SLW1,X_SLW,Ss_SLW
#[m],[K],[],[kW/m3],[kW/m2],#[m],[kW/m3],#[m],[kW/m3]
0,1250,0.1,-14.5771253055751,66.6987190388336,0.0471634266096742,-10.5177119517004,0.0305616274020593,-10.9098748691598
0.02,1249.87664009143,0.1,-14.1414158741203,66.6921604327627,0.147694861395855,-10.8899089845417,0.068251234608789,-11.112915120373
0.06,1248.89049115077,0.1,-16.69128855089,67.2076151204419,0.248404760327659,-10.5481378622801,0.0850021711451134,-11.2482752878485
0.1,1246.92208514878,0.1,-18.1926923425497,67.7897840062013,0.344952740693616,-9.56560357916904,0.11222244301664,-11.3159553715863
0.14,1243.97919048469,0.1,-18.9107478022095,68.4083745829954,0.44522826462947,-8.0495027178428,0.181320056228978,-11.2482752878485
0.18,1240.07342141924,0.1,-19.0191507341982,69.0399564496456,0.545977356762188,-6.13901267811433,0.225872689938398,-11.0176991150442
0.22,1235.22019223856,0.1,-18.6399084204187,69.6658926389892,0.646057427668228,-3.96242854503816,0.306952080251411,-10.2330740317823
0.26,1229.438656421,0.1,-17.8633528117057,70.271076974,0.746745122283309,-1.53279213843194,0.323703016787735,-9.96235369683128
0.3,1222.75163104709,0.1,-16.7591554458459,70.8431217218575,0.84706866610412,0.832249705098317,0.37782340862423,-9.22566371681416
0.34,1215.18550675099,0.1,-15.3822681083135,71.3718029619747,0.947430648064328,3.13507850227212,0.411645433603438,-8.60875202207631
0.38,1206.77014356864,0.1,-13.7749308186543,71.8486391883674,1.0481610706809,5.25485478194198,0.478649179748736,-7.39051051479684
0.42,1197.53875309392,0.1,-12.0368099441768,72.267647407092,1.14804712876643,7.03452746390567,0.49540011628506,-7.0521100961081
0.46,1187.52776740761,0.1,-10.3347393000569,72.6272474423173,1.24927321837304,8.56304445868642,0.507963318687303,-6.7813897611571
0.5,1176.77669529664,0.1,-8.52166621810482,72.9260520650412,1.34963767801343,9.74141687876269,0.583342533100763,-5.15706775145113
0.54,1165.32796633091,0.1,-6.64322811153113,73.161386196605,1.45005436152684,10.484329397489,0.600093469637087,-4.88634741650014
0.58,1153.22676341324,0.1,-4.73637452443622,73.3319737140207,1.5466023418928,10.8928529041753,0.621032140307493,-4.2772266628604
0.62,1140.52084446303,0.1,-2.83184785186067,73.4377172856128,1.64710796111074,10.8928529041753,0.669404517453799,-3.25221238938053
0.66,1127.26035393759,0.1,-0.954117330002783,73.4794980961808,1.74780179309876,10.6253858867401,0.700599088855034,-2.51754448567894
0.7,1113.49762493489,0.1,0.880681969263546,73.4589472431762,1.84807106467153,10.0254329681987,0.708974557123196,-2.17914406699019
0.74,1099.2869726587,0.1,2.65242024365001,73.3783863898288,1.94862481876458,9.13705523511121,0.767602835000331,-0.757862308497476
0.78,1084.68448006132,0.1,4.05312575896038,73.2449592660153,,,0.792729239804817,-0.284101722333236
0.82,1069.74777650981,0.1,5.38484702699486,73.0664416713521,,,0.80110470807298,-0.0810614711199875
0.86,1054.53581034914,0.1,6.61666227949284,72.8462219053345,,,0.809480176341142,0.121978780093258
0.9,1039.10861626006,0.1,7.73372863451008,72.5883458890383,,,0.868108454218277,1.61094062232373
0.94,1023.52707832963,0.1,8.73401865449813,72.2971099319188,,,0.897422593156845,2.28774145970121
0.98,1007.85268976953,0.1,9.63217094217132,71.9766486516292,,,0.91836126382725,2.76150204586545
1.02,992.147310230468,0.1,10.2138432214365,71.6342827375307,,,0.968614073436223,3.84438338566943
1.06,976.472921670371,0.1,10.5148596483665,71.2796383809011,,,0.989733059548255,4.24778761061947
1.1,960.891383739942,0.1,10.7592039726168,70.9181489957049,,,1.01467914891112,4.79190455799791
1.14,945.464189650864,0.1,10.9284639616459,70.5522943083481,,,1.08168289505641,5.94246598153964
1.18,930.252223490193,0.1,11.0233189502125,70.1847054347694,,,1.10471543279386,6.45006660957275
1.22,915.315519938677,0.1,11.0596257076992,69.8177072004685,,,1.12356023639722,6.68694690265487
1.26,900.713027341305,0.1,11.0749714841365,69.4528515695139,,,1.18275154004107,7.56637168141593
1.3,886.502375065113,0.1,10.6613054896793,69.0964548020889,,,1.21987812148109,8.10822866114759
1.34,872.739646062407,0.1,10.2614236972254,68.7552760374082,,,1.29106960176047,9.05574983347607
1.38,859.479155536967,0.1,9.86841588087688,68.4291197296919,,,1.32457147483312,9.32647016842707
1.42,846.773236586756,0.1,9.47225122690581,68.1178766569462,,,1.38738748684433,9.9355909220668
1.46,834.672033669087,0.1,9.07363931650759,67.8215096079407,,,1.4167016257829,10.0709510895423
1.5,823.223304703363,0.1,8.67967011163821,67.5398295425669,,,1.48789310606228,10.4770315919688
1.54,812.472232592385,0.1,8.30324157897891,67.2723379446008,,,1.50883177673268,10.6123917594443
1.58,802.461246906077,0.1,7.96724480842883,67.0180457291735,,,1.60724352888359,10.8154320106575
1.62,793.22985643136,0.1,7.47961210870672,66.7785010168718,,,1.68262274329705,10.8154320106575
1.66,784.814493249014,0.1,7.00716421820019,66.5552016612174,,,1.71821848343674,10.7477519269198
1.7,777.248368952908,0.1,6.59859475067539,66.3467261279643,,,1.80616090025244,10.5447116757065
1.74,770.561343579005,0.1,6.2311041707027,66.151341597412,,,1.90965092402464,9.88938053097345
1.78,764.779807761444,0.1,5.88767429943618,65.9678843928092,,,1.95273159494528,9.59719050337806
1.82,759.926578580764,0.1,5.54935592416067,65.795731912375,,,1.98767967145791,9.0929203539823
1.86,756.020809515313,0.1,5.18864044922876,65.6349639358535,,,,
1.9,753.077914851216,0.1,4.7603504161911,65.4867433835487,,,,
1.94,751.10950884923,0.1,4.18555680979848,65.3540403363523,,,,
1.98,750.123359908567,0.1,3.31791679176241,65.2429886277642,,,,
2,750,0.1,3.54394656163669,65.2458626262063,,,,
